Title,Artist,Album,Camelot,ReleaseDate,ID,Key,BPM,Acousticness,Popularity,Happiness,Danceability,Instrumentalness,Energy,Speechiness,Loudness,Cover,Tags
SMACK TALK,"ISOxo, Knock2, RL Grime, ISOKNOCK",SMACK TALK,6B,2024-06-28,5rzHkSHRyZUdQcCX6noFDB,B♭ Major,140,0.00688,59,0.183,0.46,0.956,0.959,0.096,-2.096,https://i.scdn.co/image/ab67616d0000b273e49e967f768cc4b341d13293,"EDM, bass music, hybrid trap, 2024, edm trap"
I Wanna Know,"RL Grime, Daya",NOVA,6B,2018-07-27,5NYiAtgAFWCwEpfSZOHFA7,B♭ Major,83,0.504,60,0.108,0.428,6.1e-06,0.849,0.0775,-4.417,https://i.scdn.co/image/ab67616d0000b273798f315e011d4ada702ce9bb,"electronic, pop, trap, EDM, future bass"
TROUBLE,"ISOKNOCK, ISOxo, Knock2",4EVR,11B,2024-08-01,3Y0FFtcmxdGkrCKnvuOs5q,A Major,130,0.0172,46,0.305,0.628,0.0445,0.974,0.0565,-0.51,https://i.scdn.co/image/ab67616d0000b2732e7065930b54a5ff3a04e08e,"nu skool breaks, bass house, trap edm, drift phonk"
She Will Be Loved - Radio Mix,Maroon 5,Songs About Jane: 10th Anniversary Edition,5A,2002,4llK75pXNWZz6KAho2Gp16,C Minor,102,0.228,86,0.465,0.651,0.0,0.663,0.0281,-5.569,https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e,"pop, rock, alternative rock, pop rock, soft rock"
Baby Got Back,Sir Mix-A-Lot,Mack Daddy,3B,1992-01-01,1SAkL1mYNJlaqnBQxVZrRl,C# Major,128,0.0051,74,0.642,0.926,0.0,0.669,0.301,-11.271,https://i.scdn.co/image/ab67616d0000b273f82c7e4376cf8267fb396b7d,"rap, Hip-Hop, 90s, old school, hip hop"
Not Like Us,Kendrick Lamar,Not Like Us,3B,2024-05-04,6AI3ezQ4o3HUoP6Dhudph3,C# Major,101,0.0107,96,0.214,0.898,0.0,0.472,0.0776,-7.001,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,"MySpotigramBot, Diss, Hip-Hop, diss track, hip hop"
Losing It,FISHER,Losing It,10B,2018-07-13,6ho0GyrWZN3mhi9zVRW7xi,D Major,125,0.00181,74,0.643,0.76,0.703,0.964,0.0577,-5.844,https://i.scdn.co/image/ab67616d0000b2739367c1ee2eec0bf3a04b4868,"electronic, dance, techno, tech house, 666"
Losing It - Radio Edit,FISHER,Losing It (Radio Edit),10B,2018-10-25,2KXwJZv1pRQFQ95Kj60jBN,D Major,125,0.00176,59,0.744,0.729,0.66,0.965,0.0624,-5.711,https://i.scdn.co/image/ab67616d0000b273ebeb52ef773c378153ceed31,"party, 2018 single, bbc radio1 playlist 2018"
All The Stars (with SZA),"Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,4B,2018-02-09,3GCdLUSnKSMJhs4Tj6CV3s,A♭ Major,97,0.0612,95,0.557,0.695,0.000195,0.633,0.0599,-4.946,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,"pop rap, contemporary r&b"
Piece Of Your Heart,"MEDUZA, Goodboys",MEDUZA,3A,2023-10-13,5RDUCbvwPZdmjFbhZ5EY4N,B♭ Minor,124,0.0405,69,0.631,0.677,0.000153,0.744,0.0296,-6.806,https://i.scdn.co/image/ab67616d0000b2738d7f3300dd80d2704664ff16,"House, EDM, electronic, british, dance"
Back To U,"SLANDER, William Black",Back To U,12B,2020-04-24,19m23w2ANVhtB7rApM6pbN,E Major,150,0.645,58,0.272,0.586,0.0,0.499,0.049,-6.627,https://i.scdn.co/image/ab67616d0000b273df34234cbad3fca10cda133e,melodic dubstep
Love Is Gone - Acoustic,"SLANDER, Dylan Matthew",Love Is Gone (Acoustic),2B,2019-11-13,7F1CiKqrY44kh5cDqwHOnx,F# Major,140,0.882,77,0.359,0.541,1.66e-06,0.153,0.0303,-10.654,https://i.scdn.co/image/ab67616d0000b2733892a2a2c261629f34bb5536,rock
All You Need To Know (feat. Calle Lehmann),"Gryffin, SLANDER, Calle Lehmann",Gravity,8B,2019-10-24,4TIkSdsNSfqpuq6ZYvCjAz,C Major,140,0.00699,61,0.219,0.53,0.0,0.729,0.0376,-6.019,https://i.scdn.co/image/ab67616d0000b2730e5311993a01fb2e7169f6a7,"electronic, pop, EDM, Contemporary pop, future bass"
Feel Good (with Daya),"Gryffin, ILLENIUM, Daya",Feel Good (with Daya),10B,2017-03-03,0Ev562zA4pmUsBqjxsxxdx,D Major,138,0.22,67,0.479,0.625,0.0,0.707,0.0337,-4.761,https://i.scdn.co/image/ab67616d0000b2736362397987db1fbf17f3d9b5,Electronic Pop
Starboy,"The Weeknd, Daft Punk",Starboy,9B,2016-11-25,7MXVkk9YMctZqd1Srtv4MB,G Major,186,0.141,91,0.486,0.679,6.35e-06,0.587,0.276,-7.015,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,"rnb, pop, MySpotigramBot, electronic, Daft Punk"
Buttons,The Pussycat Dolls,PCD,10B,2005-01-01,3BxWKCI06eQ5Od8TY2JBeA,D Major,211,0.178,70,0.408,0.569,0.0,0.821,0.267,-4.38,https://i.scdn.co/image/ab67616d0000b2738cc44129c3b11adec74058d6,"pop, dance, sexy, rnb, The Pussycat Dolls"
Top Of The World,The Pussycat Dolls,Top Of The World,6A,2009-02-03,6r5OaOArztjvur2lSqumAH,G Minor,122,0.00246,41,0.498,0.74,0.0,0.916,0.115,-4.091,https://i.scdn.co/image/ab67616d0000b273183e2487a77746b45ff41356,"pop, dance, The Pussycat Dolls, female vocalists, the city"
Sports car,Tate McRae,So Close To What,10A,2025-02-20,5UJbgR4XF4y1DvbkxEqe8S,B Minor,107,0.0505,88,0.886,0.861,0.00139,0.815,0.0349,-3.672,https://i.scdn.co/image/ab67616d0000b273ec58cd730a52c5899b947d3e,"pop, best of 2025, electropop, soty, fernandacoxta"
Stereo Love - Original,"Edward Maya, Vika Jigulina",Stereo Love,11B,2009,1aklRy3btsbucImSXvR2SY,A Major,127,0.0392,68,0.341,0.781,0.0127,0.787,0.0383,-5.358,https://i.scdn.co/image/ab67616d0000b273695991d6f4a544a05df4c1c0,"pop, dance, eletronic, Romanian popcorn"
Stereo Love,"Edward Maya, Vika Jigulina",Stereo Love,11B,2009,11Iv8RCFmeImLOpaHYxKb4,A Major,127,0.0399,71,0.206,0.775,0.0235,0.726,0.0369,-5.629,https://i.scdn.co/image/ab67616d0000b273695991d6f4a544a05df4c1c0,"dance, House, club, electronic, summer 2010"
We Found Love,"Rihanna, Calvin Harris",Talk That Talk,3B,2011-11-18,6qn9YLKt13AGvpq9jfO8py,C# Major,128,0.025,85,0.6,0.735,0.00141,0.766,0.0384,-4.485,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,"pop, dance, Rihanna, female vocalists, electronic"
This Is What You Came For,"Calvin Harris, Rihanna",96 Months,8A,2024-08-08,2vlDrKpOC0eSTqTDRcbYyw,A Minor,124,0.222,77,0.41,0.647,0.0526,0.933,0.0335,-2.708,https://i.scdn.co/image/ab67616d0000b2738daa8ac6367fc997c1873b9b,"House, EDM, Rihanna, 2016, taylor swift"
22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),9B,2021-11-12,3yII7UwgLF6K5zW3xad3MP,G Major,104,0.000443,74,0.642,0.642,1.02e-05,0.695,0.0281,-5.62,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,"pop, taylor swift, country, love at first listen, female vocalists"
Levels - Radio Edit,Avicii,Levels,12A,2011-10-28,5UqCQaDshqbIk3pkhy4Pjg,C# Minor,126,0.0462,83,0.464,0.584,0.828,0.889,0.0343,-5.941,https://i.scdn.co/image/ab67616d0000b273ffb343926530168be4724dd4,"dance, House, electronic, party, Progressive House"
Levels - Original Version,Avicii,Levels,12A,2011-10-28,6Xe9wT5xeZETPwtaP2ynUz,C# Minor,126,0.0297,67,0.353,0.602,0.887,0.834,0.0358,-6.573,https://i.scdn.co/image/ab67616d0000b273ffb343926530168be4724dd4,"electronic, House, dj, Sweden, EDM"
The Nights,Avicii,The Days / Nights,2B,2014-01-01,0ct6r3EGTcMLPtrXHDvVjc,F# Major,126,0.0166,87,0.654,0.527,0.0,0.835,0.0433,-5.298,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,"dance, electronic, pop, 2015, 2014"
MIDDLE CHILD,"PnB Rock, XXXTENTACION",TrapStar Turnt PopStar,8B,2019-05-02,4AEzAEnbm9uRgbmTdeI63K,C Major,152,0.137,60,0.398,0.75,0.0,0.567,0.48,-6.4,https://i.scdn.co/image/ab67616d0000b273aaed5e3d5768ee00f07003bf,"trap, cloud rap, hip hop, pop rap, east coast hip hop"
Magnetic,ILLIT,SUPER REAL ME,2B,2024-03-25,1aKvZDoLGkNMxoRYgkckZG,F# Major,131,0.257,84,0.69,0.797,0.0,0.668,0.0687,-5.819,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,"Kpop, pluggnb, k-pop, soty, Korean"
Magnetic (Starlight Remix),ILLIT,Magnetic (Remixes),2B,2024-04-19,1SNbKSraeBuFBuHeSpHLis,F# Major,131,0.104,53,0.902,0.793,0.00393,0.725,0.0653,-4.283,https://i.scdn.co/image/ab67616d0000b273465aad6d3be0d66b9fa93bb6,"Kpop, pluggnb, k-pop, soty, Korean"
Tick-Tack,ILLIT,I'LL LIKE YOU,10B,2024-10-21,0znsc67nMhP4X9hjhvoyeP,D Major,130,0.136,79,0.963,0.867,0.0,0.745,0.0408,-4.159,https://i.scdn.co/image/ab67616d0000b273fc2fffae3025fbc540b98f34,"electropop, dance-pop, Awesome, chiptune, Korean"
ETA,NewJeans,NewJeans 2nd EP 'Get Up',3A,2023-07-21,56v8WEnGzLByGsDAXDiv4d,B♭ Minor,135,0.108,78,0.841,0.812,0.0,0.749,0.0397,-6.389,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,"baltimore club, pop, k-pop, 2023, catchy"
OMG,NewJeans,NewJeans 'OMG',8A,2023-01-02,65FftemJ1DbbZ45DUfHJXE,A Minor,127,0.357,80,0.739,0.804,3.07e-06,0.771,0.0433,-4.067,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,"rnb, k-pop, pop, dance-pop, Kpop"
Cool With You,NewJeans,NewJeans 2nd EP 'Get Up',4A,2023-07-21,02wk5BttM0QL38ERjLPQJB,F Minor,135,0.653,73,0.532,0.752,0.00136,0.65,0.12,-6.683,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,"UK Garage, k-pop, 2-step, dance-pop, Korean"
New Jeans,NewJeans,NewJeans 'Super Shy',9A,2023-07-07,6rdkCkjk6D12xRpdMXy0I2,E Minor,134,0.51,79,0.532,0.807,0.00216,0.721,0.0508,-6.211,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,"k-pop, pop, rnb, love at first listen, UK Garage"
Supernatural,NewJeans,Supernatural,3A,2024-06-21,5ocSQW5sIUIOFojwXEz9Ki,B♭ Minor,109,0.185,77,0.863,0.699,8.43e-06,0.708,0.0496,-4.182,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,"new jack swing, k-pop, 2024, newjeans, acheimagra"
Perfect Night,LE SSERAFIM,Perfect Night,7B,2023-10-27,74X2u8JMVooG2QbjRxXwR8,F Major,136,0.1,80,0.502,0.697,0.0,0.82,0.0308,-4.502,https://i.scdn.co/image/ab67616d0000b2735e352f6eccf8cb96d0b247cc,"k-pop, 2023, english, pop, Awesome"
EASY,LE SSERAFIM,EASY,8B,2024-02-19,2O4Bb2WCkjlTPO827OnBMI,C Major,165,0.189,78,0.602,0.744,2.74e-06,0.7,0.0507,-5.154,https://i.scdn.co/image/ab67616d0000b273110f5426b8c149e80804912a,"trap, rnb, k-pop, easy, LESSERAFIM"
CRAZY,LE SSERAFIM,CRAZY,10A,2024-08-30,3AoEQRuFf8zVXWqSLo2UOi,B Minor,130,0.00953,79,0.531,0.802,0.000291,0.899,0.126,-2.223,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,"House, k-pop, Kpop, pop, dance"
dancinwithsomebawdy,ericdoa,DOA,8A,2024-01-19,5v7oj9PosKdE39x9uwDs6C,A Minor,128,0.00394,58,0.663,0.737,0.0,0.705,0.0764,-4.864,https://i.scdn.co/image/ab67616d0000b2731c615ec4f5dd17806a802162,"dance-pop, funky house, 2-step, funktronica"
NOKIA,Drake,$ome $exy $ongs 4 U,7B,2025-02-14,2u9S9JJ6hTZS3Vf22HOZKg,F Major,106,0.247,94,0.508,0.537,0.0,0.727,0.15,-4.184,https://i.scdn.co/image/ab67616d0000b273cc392813bfd8f63d4d5f4a95,"pop rap, Drake, atlanta bass, pop, electro"
palm of my hands - Odd Mob Remix,"John Summit, Odd Mob, venbee",palm of my hands (Odd Mob Remix),3A,2024-11-08,2vxsdAnntt6eGZJJRaLBF6,B♭ Minor,132,0.00273,67,0.554,0.823,0.0838,0.908,0.0526,-4.07,https://i.scdn.co/image/ab67616d0000b273008666415b2bd8010fb2247e,"tech house, deep house, House"
